%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,26,0x0400000000004000,1685912415,1685912416,0.937463,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57732,142.250.80.42,us,Google LLC,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_782,#NAME?,443,https,782,464,1073474,6631,0,1400,1372.729,186.2417,0,0.68833,0.001198802,0.0246555,834.1663,1145084,0.2552167,0.9877216,0x4a33,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2687808270,781,1073474,0,781,6631,0,70000,65535,130954.6,65535,131584,8,9,9,0,0x011b,0x0000,782,2353,0x0000013e,1460,64,0x0000,0x00,0,0x00,634585837,2613243924,0.001,634585.8671,1685277830,0.02608595,3.20E-05,0.688094,0.01174251,0.0633475,0.026272,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,21,1,2,38,1.809524,19,25903,35662617
B,26,0x0400000000004001,1685912415,1685912416,0.911093,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,142.250.80.42,us,Google LLC,443,192.168.2.168,7,Private network,57732,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_464,"SagemcomB,FR_-",443,https,464,782,6631,1073474,0,1400,14.29095,113.8547,0,0.661388,0.001963563,0.03070267,509.2784,7278.071,-0.2552167,-0.9877216,0x0a13,1,25181,123,123,0,0xc0,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,274245760,461,7671,0,464,1074875,0,4698,65535,1659379,65535,1659648,23,393,24,0,0x031b,0x0240,464,1394,0x0000011e,1412,256,0x0000,0x00,0,0x00,2613243924,634585811,0.001,2613244.048,1683299171,0.000186048,2.40E-05,0.00514304,0.000220932,0.000261312,0.01196344,0.06334804,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,21,1,37,37,37,464,6631
A,35,0x0400000000004000,1685912421,1685912423,1.751111,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57737,142.250.65.170,us,Google LLC,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_2788,#NAME?,443,https,2788,1194,3857391,6942,0,1400,1383.569,132.0909,0,0.663602,0.000628089,0.01323721,1592.132,2202825,0.4003014,0.9964072,0x0a33,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,531245565,2761,6619943,2,2787,6942,0,948418,65535,130878.5,65535,131584,18,16,19,0,0x011b,0x0044,2788,8368,0x0000011e,1460,64,0x0000,0x00,0,0x00,3640249712,1319852036,0.001,3640249.885,1682272174,0.02494499,6.98E-06,0.66347,0.01007862,0.03908569,0.02516199,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,21,1,2,46,2.190476,23,36021,49602787
B,35,0x0400000000004001,1685912421,1685912423,1.725878,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,142.250.65.170,us,Google LLC,443,192.168.2.168,7,Private network,57737,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_1194,"SagemcomB,FR_-",443,https,1194,2788,6942,3857391,0,1400,5.81407,71.34917,0,0.65336,0.001445459,0.0198421,691.8218,4022.301,-0.4003014,-0.9964072,0x4a33,1,11823,123,123,0,0xc0,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4132641515,1194,6942,0,1194,2574271,404,4696,65535,2420053,65535,2421248,36,687,37,0,0x031b,0x0008,1194,4808,0x0000013e,1412,256,0x0000,0x00,0,0x00,1319852036,3640249687,0.001,1319852.099,1684592571,0.000216992,8.00E-06,0.174465,0.001748361,0.004432618,0.01182698,0.03933623,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,21,1,45,45,45,1194,6942
A,45,0x0400000000004000,1685912436,1685912438,1.552913,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57746,142.250.80.74,us,Google LLC,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_2335,#NAME?,443,https,2335,993,3215192,8058,0,1400,1376.956,157.2685,0,0.719717,0.000665059,0.01499751,1503.626,2070426,0.4032452,0.9950001,0x4a13,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3596554083,2301,6582363,3,2334,6980,2,132790,65535,131017.1,65535,131584,15,17,16,0,0x011b,0x004e,2335,7018,0x0000013e,1460,64,0x0000,0x00,0,0x00,4041147318,2170880687,0.1,404114737.8,1281797700,0.024064,1.50E-05,0.719582,0.007026964,0.03284452,0.02426298,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,22,1,32,80,3.636364,2.5,54742,75257111
B,45,0x0400000000004001,1685912436,1685912438,1.545831,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,142.250.80.74,us,Google LLC,443,192.168.2.168,7,Private network,57746,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_993,"SagemcomB,FR_-",443,https,993,2335,8058,3215192,0,1400,8.114803,84.72542,0,0.69964,0.001556728,0.02229243,642.3729,5212.73,-0.4032452,-0.9950001,0x4a37,1,34492,123,123,0,0xc0,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2736879544,988,9027,1,993,2875742,71,2800,65535,2659198,65535,2659328,220,642,221,0,0x031b,0x02cc,993,3887,0x0000013e,1412,256,0x0000,0x00,0,0x00,2170880704,4041147315,0.1,217088073.6,1468824364,0.000198976,9.98E-06,0.00389504,0.000231243,0.000226234,0.007258206,0.03284531,0x08,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,22,31,79,79,2.548387,13284,118868
A,49,0x0400000000004000,1685912438,1685912469,30.700663,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57747,20.50.73.9,us,Microsoft Corporation,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_14,#NAME?,443,https,14,11,1907,6851,0,606,136.2143,211.857,0,30.18927,2.192905,7.434767,0.4560162,62.11592,0.12,-0.5645124,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3993733891,13,1907,0,13,6851,0,606,65535,260127.9,65535,262144,4,5,5,0,0x011b,0x0000,1,7,0x0000011e,1460,64,0x0000,0x00,0,0x00,3260968304,0,0.004,13043873.84,1672868564,0.08129703,0.080282,0.08776301,0.0824949,0.001722278,0.08137602,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,22,1,16,118,5.363636,7.375,95360,130993249
B,49,0x0400000000004001,1685912438,1685912469,30.619091,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,20.50.73.9,us,Microsoft Corporation,443,192.168.2.168,7,Private network,57747,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_11,"SagemcomB,FR_-",443,https,11,14,6851,1907,0,1452,622.8182,566.9193,0,30.27344,2.783554,8.247471,0.359253,223.7493,-0.12,0.5645124,0x0a11,1,1,113,113,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2486943223,11,6851,0,11,1908,0,6294,65535,512314.6,65535,525568,2,2,3,0,0x031b,0x0000,1,6,0x0000001e,1440,256,0x0000,0x00,0,0x00,0,0,0,0,0,7.90E-05,7.90E-05,30.19093,4.313896,10.13112,4.39639,10.13112,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,22,15,117,117,7.8,85,55260
A,51,0x0400000000004000,1685912438,1685912469,30.700413,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57749,20.50.73.9,us,Microsoft Corporation,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_15,#NAME?,443,https,15,11,1996,6851,0,695,133.0667,221.0831,0,30.1865,2.046695,7.226047,0.4885928,65.01541,0.1538462,-0.5487736,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,504387685,14,1996,0,14,6851,0,695,65535,260703.1,65535,262144,5,5,6,0,0x011b,0x0000,1,7,0x0000011e,1460,64,0x0000,0x00,0,0x00,2587994990,0,0.004,10351980.45,1675560457,0.08092698,0.001846,0.09030899,0.05349245,0.03503204,0.08105498,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,22,1,14,116,5.272727,8.285714,95360,130993249
B,51,0x0400000000004001,1685912438,1685912469,30.619092,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,20.50.73.9,us,Microsoft Corporation,443,192.168.2.168,7,Private network,57749,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_11,"SagemcomB,FR_-",443,https,11,15,6851,1996,0,1452,622.8182,566.9193,0,30.26991,2.783554,8.246412,0.359253,223.7493,-0.1538462,0.5487736,0x0a11,1,1,113,113,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3137494950,11,6851,0,11,1997,0,4842,65535,512314.6,65535,525568,2,2,3,0,0x031b,0x0000,1,6,0x0000001e,1440,256,0x0000,0x00,0,0x00,0,0,0,0,0,0.000128,5.70E-05,30.1875,4.025936,9.872653,4.079428,9.872715,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,22,13,115,115,8.846154,85,55260
A,52,0x0400000000004000,1685912438,1685912469,30.618177,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,57750,20.50.73.9,us,Microsoft Corporation,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_14,#NAME?,443,https,14,11,1898,6851,0,597,135.5714,210.5788,0,30.07824,2.187013,7.406853,0.4572447,61.98932,0.12,-0.5661218,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,634100497,13,1898,0,13,6851,0,597,65535,260127.9,65535,262144,4,5,5,0,0x011b,0x0000,1,7,0x0000011e,1460,64,0x0000,0x00,0,0x00,3922653374,0,0.004,15690614.24,1670221824,0.082742,0.080496,0.10711,0.08396591,0.006923968,0.08285,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,22,1,12,114,5.181818,9.5,95360,130993249
B,52,0x0400000000004001,1685912438,1685912469,30.534992,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,20.50.73.9,us,Microsoft Corporation,443,192.168.2.168,7,Private network,57750,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_11,"SagemcomB,FR_-",443,https,11,14,6851,1898,0,1452,622.8182,566.9193,0,30.16151,2.775908,8.216203,0.3602424,224.3655,-0.12,0.5661218,0x0a11,1,1,113,113,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1194291155,11,6851,0,11,1899,0,6294,65535,512314.6,65535,525568,2,2,3,0,0x031b,0x0000,1,6,0x0000001e,1440,256,0x0000,0x00,0,0x00,0,0,0,0,0,0.000108,5.50E-05,30.07915,4.299112,10.09322,4.383078,10.09322,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,22,11,113,113,10.27273,85,55260
