%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,7,0x0400000000004000,1689955400,1689955406,5.999958,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55030,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_16,#NAME?,443,https,16,18,1747,16689,0,1150,109.1875,269.0673,0,4.012894,0.3749974,0.9950789,2.666685,291.1687,-0.05882353,-0.8104795,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,115743796,15,1747,0,15,16689,0,1230,65535,130142.6,65535,132480,6,5,7,0,0x011b,0x0000,16,52,0x0000011e,1460,64,0x0000,0x00,0,0x00,2845110250,4096192631,0.001,2845110.385,1687110296,0.02145402,2.60E-05,4.012696,0.2675907,0.882835,0.021656,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,1725,24748
B,7,0x0400000000004001,1689955400,1689955406,6.00286,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,55030,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_18,"SagemcomB,FR_-",443,https,18,16,16689,1747,0,1440,927.1667,566.0162,0,4.012842,0.3334922,0.9510586,2.998571,2780.175,0.05882353,0.8104795,0x0213,27560,37961,57,57,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2076815517,18,16689,0,18,1747,0,6760,65160,64519.4,64512,65160,2,0,0,0,0x031b,0x0000,18,56,0x0000011e,1452,512,0x0000,0x00,0,0x00,4096194426,2845110250,0.001,4096194.621,1685859211,0.000201984,4.20E-05,1.757834,0.1107991,0.4117636,0.3783899,0.974139,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,57,55823
A,15,0x0400000000004000,1689955406,1689955412,6.000767,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55032,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_14,#NAME?,443,https,14,20,1747,18498,0,1150,124.7857,284.463,0,4.069697,0.4286262,1.067442,2.333035,291.1294,-0.1764706,-0.8274142,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2391707472,13,1747,0,13,18498,0,1230,65535,129790.8,65535,132480,4,4,5,0,0x011b,0x0000,14,46,0x0000011e,1460,64,0x0000,0x00,0,0x00,2249313904,675857319,0.001,2249314.011,1687706097,0.02381798,0.001564992,4.069391,0.2192026,0.8598155,0.02393696,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,6,14,2.333333,2.333333,2132,30300
B,15,0x0400000000004001,1689955406,1689955412,6.009468,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,55032,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_20,"SagemcomB,FR_-",443,https,20,14,18498,1747,0,1440,924.9,586.3605,0,4.069593,0.3004734,0.9275107,3.328082,3078.143,0.1764706,0.8274142,0x0213,16649,48870,57,57,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4146230852,20,18498,0,20,1747,0,7240,65160,64513.86,64512,65160,2,0,0,0,0x031b,0x0000,20,62,0x0000011e,1452,512,0x0000,0x00,0,0x00,675859263,2249313904,0.004,2703437.18,1687251974,0.000118976,6.10E-05,1.810328,0.1303759,0.4489902,0.3495785,0.9699871,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,5,13,13,2.6,78,74520
A,16,0x0400000000004000,1689955412,1689955418,5.992682,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55033,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_19,#NAME?,443,https,19,21,1747,20636,0,1150,91.94736,252.0652,0,3.95016,0.3154043,0.9073426,3.170534,291.5222,-0.05,-0.8438994,0x4a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3510939730,18,1747,0,18,18525,1,1230,65535,130019.3,65535,132480,7,6,8,0,0x011b,0x0008,19,67,0x0000013e,1460,64,0x0000,0x00,0,0x00,1965823690,3527962422,0.001,1965823.783,1687989594,0.02826694,2.40E-05,3.949979,0.2440378,0.8100293,0.02841395,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,6,14,2,2.333333,2445,36025
B,16,0x0400000000004001,1689955412,1689955418,5.989511,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,55033,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_21,"SagemcomB,FR_-",443,https,21,19,20636,1747,0,1440,982.6667,554.3734,0,3.950253,0.2852148,0.8724835,3.506129,3445.356,0.05,0.8438994,0x0213,62191,3327,57,57,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3653180817,19,18525,0,21,1747,0,4310,65160,64513.81,64512,65160,2,0,0,0,0x031b,0x0040,21,65,0x0000011e,1452,512,0x0000,0x00,0,0x00,3527964221,1965823690,0.001,3527964.389,1686427453,0.000147008,2.80E-05,1.673392,0.08906459,0.3634768,0.3331024,0.8878417,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,5,13,13,2.6,99,93307
A,17,0x0400000000004000,1689955418,1689955424,5.994341,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55034,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_20,#NAME?,443,https,20,21,1747,18697,0,1150,87.35,246.458,0,4.065515,0.299717,0.9260226,3.33648,291.4416,-0.02439024,-0.8290941,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1421025397,19,1747,0,19,18697,0,1230,65535,130231.6,65535,132480,10,6,11,0,0x011b,0x0000,20,64,0x0000011e,1460,64,0x0000,0x00,0,0x00,3815145613,1913345947,0.001,3815145.794,1686140279,0.02287802,1.70E-05,4.065289,0.2041427,0.841571,0.023032,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,6,14,2,2.333333,2687,41610
B,17,0x0400000000004001,1689955418,1689955424,5.995287,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,55034,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_21,"SagemcomB,FR_-",443,https,21,20,18697,1747,0,1440,890.3333,602.2495,0,4.065338,0.2854899,0.9092413,3.502751,3118.616,0.02439024,0.8290941,0x0213,62349,3169,57,57,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1047148507,21,18697,0,21,1747,0,3595,65160,64513.3,64512,65160,2,0,0,0,0x031b,0x0000,21,65,0x0000011e,1452,512,0x0000,0x00,0,0x00,1913347885,3815145613,0.001,1913347.976,1688042076,0.000153984,2.30E-05,1.834048,0.09221594,0.3894877,0.2963587,0.9273309,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,5,13,13,2.6,119,112026
A,19,0x0400000000004000,1689955424,1689955430,6.002879,1,3,eth:ipv4:tcp,5c:e9:1e:6a:fd:c6,b8:d9:4d:f1:84:60,0x0800,,192.168.2.168,7,Private network,55035,52.223.241.20,us,Amazon Technologies Inc,443,6,0x00,1,5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_18,#NAME?,443,https,18,21,1747,18787,0,1150,97.05556,255.8576,0,4.002492,0.3334933,0.9602779,2.998561,291.027,-0.07692308,-0.8298432,0x0a33,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1810857715,17,1747,0,17,18787,0,1230,65535,130066.2,65535,132480,8,5,9,0,0x011b,0x0000,18,58,0x0000011e,1460,64,0x0000,0x00,0,0x00,1121682587,4096216482,0.001,1121682.64,1688833747,0.02261997,1.60E-05,4.002201,0.2035166,0.8279629,0.02277901,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,6,14,2,2.333333,2957,47155
B,19,0x0400000000004001,1689955424,1689955430,6.005313,1,3,eth:ipv4:tcp,b8:d9:4d:f1:84:60,5c:e9:1e:6a:fd:c6,0x0800,,52.223.241.20,us,Amazon Technologies Inc,443,192.168.2.168,7,Private network,55035,6,0x00,1,b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_21,"SagemcomB,FR_-",443,https,21,18,18787,1747,0,1440,894.619,597.11,0,4.002517,0.2859673,0.9027601,3.496904,3128.396,0.07692308,0.8298432,0x0213,61954,3564,57,57,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1167445931,21,18787,0,21,1747,0,4498,65160,64513.3,64512,65160,2,0,0,0,0x031b,0x0000,21,65,0x0000011e,1452,512,0x0000,0x00,0,0x00,4096218425,1121682587,0.001,4096218.62,1685859212,0.00015904,2.40E-05,1.89948,0.1061526,0.4226935,0.3096691,0.9296195,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,5,13,13,2.6,139,130160
